id,method,question,expected_filters,predicted_filters,all_filters_correct,missing_columns,unexpected_columns,mismatched_columns
EQ-06,RAG,Kolik případů střevních infekčních nemocí bylo v Praze?,"{""diagnosis_code"": [""A01"", ""A02"", ""A03"", ""A04"", ""A05"", ""A06"", ""A07"", ""A08"", ""A09""], ""region_name_cs"": [""Hl. m. Praha""]}","{""diagnosis_code"": [""A04"", ""A07"", ""A08"", ""A48"", ""J15""], ""region_name_cs"": [""Hl. m. Praha""]}",0,,,"{""diagnosis_code"": {""missing"": [""A01"", ""A02"", ""A03"", ""A05"", ""A06"", ""A09""], ""unexpected"": [""A48"", ""J15""]}}"
EQ-06,KG-RAG,Kolik případů střevních infekčních nemocí bylo v Praze?,"{""diagnosis_code"": [""A01"", ""A02"", ""A03"", ""A04"", ""A05"", ""A06"", ""A07"", ""A08"", ""A09""], ""region_name_cs"": [""Hl. m. Praha""]}","{""diagnosis_code"": [""A04"", ""A05"", ""A06"", ""A07"", ""A08""], ""region_name_cs"": [""Hl. m. Praha""]}",0,,,"{""diagnosis_code"": {""missing"": [""A01"", ""A02"", ""A03"", ""A09""], ""unexpected"": []}}"
EQ-07,RAG,Porovnej virové infekce kůže a sliznic podle diagnózy.,"{""diagnosis_code"": [""B00"", ""B01"", ""B02"", ""B04"", ""B05"", ""B06"", ""B07"", ""B08"", ""B09""]}","{""diagnosis_code"": [""A08"", ""A81"", ""B07"", ""B08"", ""B09""]}",0,,,"{""diagnosis_code"": {""missing"": [""B00"", ""B01"", ""B02"", ""B04"", ""B05"", ""B06""], ""unexpected"": [""A08"", ""A81""]}}"
EQ-07,KG-RAG,Porovnej virové infekce kůže a sliznic podle diagnózy.,"{""diagnosis_code"": [""B00"", ""B01"", ""B02"", ""B04"", ""B05"", ""B06"", ""B07"", ""B08"", ""B09""]}","{""diagnosis_code"": [""B07"", ""B08"", ""B09""]}",0,,,"{""diagnosis_code"": {""missing"": [""B00"", ""B01"", ""B02"", ""B04"", ""B05"", ""B06""], ""unexpected"": []}}"
EQ-08,RAG,Porovnej virové hepatitidy podle diagnózy.,"{""diagnosis_code"": [""B15"", ""B16"", ""B17"", ""B18"", ""B19""]}","{""diagnosis_code"": [""B15"", ""B16"", ""B17"", ""B18"", ""B19""]}",1,,,{}
EQ-08,KG-RAG,Porovnej virové hepatitidy podle diagnózy.,"{""diagnosis_code"": [""B15"", ""B16"", ""B17"", ""B18"", ""B19""]}","{""diagnosis_code"": [""B15"", ""B16"", ""B17"", ""B18"", ""B19""]}",1,,,{}
EQ-09,RAG,Porovnej pneumonie podle diagnózy.,"{""diagnosis_code"": [""J12"", ""J13"", ""J14"", ""J15"", ""J16"", ""J17"", ""J18""]}","{""diagnosis_code"": [""J12"", ""J15"", ""J16"", ""J17"", ""J18""]}",0,,,"{""diagnosis_code"": {""missing"": [""J13"", ""J14""], ""unexpected"": []}}"
EQ-09,KG-RAG,Porovnej pneumonie podle diagnózy.,"{""diagnosis_code"": [""J12"", ""J13"", ""J14"", ""J15"", ""J16"", ""J17"", ""J18""]}","{""diagnosis_code"": [""J12"", ""J13"", ""J14"", ""J15"", ""J16"", ""J17"", ""J18""]}",1,,,{}
EQ-10,RAG,Porovnej pneumonie podle kraje.,"{""diagnosis_code"": [""J12"", ""J13"", ""J14"", ""J15"", ""J16"", ""J17"", ""J18""]}","{""diagnosis_code"": [""J12"", ""J15"", ""J16"", ""J17"", ""J18""]}",0,,,"{""diagnosis_code"": {""missing"": [""J13"", ""J14""], ""unexpected"": []}}"
EQ-10,KG-RAG,Porovnej pneumonie podle kraje.,"{""diagnosis_code"": [""J12"", ""J13"", ""J14"", ""J15"", ""J16"", ""J17"", ""J18""]}","{""diagnosis_code"": [""J12"", ""J13"", ""J14"", ""J15"", ""J16"", ""J17"", ""J18""]}",1,,,{}
