ciselnik,ciselnik_kod,ciselnik_nazev,kod_IRI,kod,kod_tecka,nazev,kod_kapitola_rozsah,kod_kapitola_cislo,nazev_kapitola,platnost_od,platnost_do
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A02,A02,A02,Jiné infekce způsobené salmonelami,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A02.0,A020,A02.0,Salmonelová enteritis,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A02.1,A021,A02.1,Salmonelová sepse,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A02.2,A022,A02.2,Salmonelové infekce lokalizované,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A02.8,A028,A02.8,Jiné určené infekce salmonelami,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A02.9,A029,A02.9,Infekce salmonelami NS,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A03,A03,A03,Shigelóza,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A03.0,A030,A03.0,Shigelóza‚ původce: Shigella dysenteriae,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A03.1,A031,A03.1,Shigelóza‚ původce: Shigella flexneri,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A03.2,A032,A03.2,Shigelóza‚ původce: Shigella boydii,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A03.3,A033,A03.3,Shigelóza‚ původce: Shigella sonnei,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A03.8,A038,A03.8,Shigelóza jiná,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A03.9,A039,A03.9,Shigelóza NS,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A04,A04,A04,Jiné bakteriální střevní infekce,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A04.0,A040,A04.0,Enteropatogenní infekce‚ původce: Escherichia coli,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A04.1,A041,A04.1,Enterotoxikogenní infekce‚ původce: Escherichia coli,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A04.2,A042,A04.2,Enteroinvazivní infekce‚ původce: Escherichia coli,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A04.3,A043,A04.3,Enterohemoragické infekce‚ původce: Escherichia coli,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A04.4,A044,A04.4,Jiné střevní infekce‚ původce: Escherichia coli,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A04.5,A045,A04.5,Enteritida‚ původce: Campylobacter,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A04.6,A046,A04.6,Enteritida‚ původce: Yersinia enterocolitica,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A04.7,A047,A04.7,Enterokolitida‚ původce: Clostridium difficile,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A04.8,A048,A04.8,Jiná určená bakteriální střevní infekce,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A04.9,A049,A04.9,Bakteriální střevní infekce NS,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A05,A05,A05,"Jiné bakteriální intoxikace – otravy, přenesené potravou",A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A05.0,A050,A05.0,Stafylokoková intoxikace přenesená potravou,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A05.1,A051,A05.1,Botulismus,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A05.2,A052,A05.2,Intoxikace přenesená potravou‚ původce: Clostridium perfingens [Clostridium welchii],A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A05.3,A053,A05.3,Intoxikace přenesená potravou‚ původce: Vibrio paraheamolyticus,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A05.4,A054,A05.4,Intoxikace přenesená potravou‚ původce: Bacillus cereus,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A05.8,A058,A05.8,Jiné specifikované bakteriální intoxikace přenesené potravinami,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A05.9,A059,A05.9,Bakteriální intoxikace přenesená potravou NS,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A06,A06,A06,Amébóza,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A06.0,A060,A06.0,Akutní amébová dysenterie,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A06.1,A061,A06.1,Chronická střevní amébóza,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A06.2,A062,A06.2,Amébová nedysenterická kolitida,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A06.3,A063,A06.3,Střevní amébóm,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A06.4,A064,A06.4,Amébový jaterní absces (K77*),A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A06.5,A065,A06.5,Amébový plicní absces,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A06.6,A066,A06.6,Amébový mozkový absces (G07*),A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A06.7,A067,A06.7,Kožní amébóza,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A06.8,A068,A06.8,Amébová infekce jiných lokalizací,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A06.9,A069,A06.9,Amébóza NS,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A07,A07,A07,Jiné protozoární střevní nemoci,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A07.0,A070,A07.0,Balantidióza,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A07.1,A071,A07.1,Giardiósa (lamblióza),A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A07.2,A072,A07.2,Kryptosporidióza,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A07.3,A073,A07.3,Izosporóza,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A07.8,A078,A07.8,Jiné určené protozoární střevní nemoci,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A07.9,A079,A07.9,Střevní nemoci způsobené prvoky NS,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A08,A08,A08,Střevní infekce viry a jinými určenými mikroorganismy,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A08.0,A080,A08.0,Rotavirová enteritida,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A08.1,A081,A08.1,Akutní gastroenteropatie v důsledku noroviru,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A08.2,A082,A08.2,Adenovirová enteritida,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A08.3,A083,A08.3,Jiná virová enteritida,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A08.4,A084,A08.4,Virové střevní infekce NS,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A08.5,A085,A08.5,Jiné určené střevní infekce,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A09,A09,A09,Jiná gastroenteritida a kolitida infekčního a NS původu,A00-B99,I.,Některé infekční a parazitární nemoci,2009-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A09.0,A090,A09.0,Jiná a nespecifikovaná gastroenteritida a kolitida infekčního původu,A00-B99,I.,Některé infekční a parazitární nemoci,2009-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A09.9,A099,A09.9,Gastroenteritida a kolitida neurčeného původu,A00-B99,I.,Některé infekční a parazitární nemoci,2009-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A15,A15,A15,"Tuberkulóza dýchacího ústrojí, bakteriologicky a histologicky ověřená",A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A15.0,A150,A15.0,"Tuberkulóza plic‚ ověřená ve sputu mikroskopicky – včetně ověření kultivací, případně bez kultivace",A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A15.1,A151,A15.1,Tuberkulóza plic‚ ověřená pouze kultivací,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A15.2,A152,A15.2,Tuberkulóza plic‚ ověřená histologicky,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A15.3,A153,A15.3,Tuberkulóza plic‚ ověřená nespecifikovanou metodou,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A15.4,A154,A15.4,Tuberkulóza nitrohrudních uzlin‚ bakteriologicky a histologicky ověřená,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A15.5,A155,A15.5,Tuberkulóza hrtanu‚ průdušnice a bronchu‚ bakteriologicky a histologicky ověřená,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A15.6,A156,A15.6,Tuberkulózní pleuritida‚ bakteriologicky a histologicky ověřená,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A15.7,A157,A15.7,Primární tuberkulóza dýchacího ústrojí bakteriologicky a histologicky ověřená,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A15.8,A158,A15.8,Tuberkulóza jiných částí dýchacího ústrojí‚ bakteriologicky a histologicky ověřená,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A15.9,A159,A15.9,Tuberkulóza dýchacího ústrojí NS‚ bakteriologicky a histologicky ověřená,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A16,A16,A16,Tuberkulóza dýchacího ústrojí‚ bakteriologicky a histologicky neověřená,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A16.0,A160,A16.0,Tuberkulóza plic‚ bakteriologicky a histologicky negativní,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A16.1,A161,A16.1,Tuberkulóza plic‚ bakteriologické a histologické vyšetření nebylo prováděno,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A16.2,A162,A16.2,Tuberkulóza plic‚ bez zmínky o bakteriologickém nebo histologickém ověření,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A16.3,A163,A16.3,Tuberkulóza nitrohrudních mízních uzlin‚ bez zmínky o bakteriologickém nebo histologickém ověření,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A16.4,A164,A16.4,Tuberkulóza hrtanu‚ průdušnice a bronchu‚ bez uvedení bakteriologického nebo histologického ověření,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A16.5,A165,A16.5,Tuberkulózní pleuritida‚ bez zmínky o bakteriologickém nebo histologickém ověření,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A16.7,A167,A16.7,"Primární tuberkulóza dýchacího ústrojí, bez zmínky o bakteriologickém nebo histologickém ověření",A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A16.8,A168,A16.8,Tuberkulóza jiných částí dýchacího ústrojí‚ bez zmínky o bakteriologickém nebo histologickém ověření,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
